Ticker,Name,Website,DNBExchange,DNBTicker,NaicsSector,NaicsIndustry,KeyPrincipal,DetailLink,Description
11/04/2010 00:00:00,Fluor Taps David Seaton as Next Chief Executive Officer,
11/04/2010 00:00:00,Fluor Corporation Announces Increase in Share Repurchase Program and Declaration of Quarterly Dividend,
11/04/2010 00:00:00,Fluor Reports Third Quarter Results,
10/29/2010 00:00:00,Fluor Joint Venture Receives Adverse Legal Ruling Affecting SR-125 Claim Collectability Resulting in Third Quarter Charge,
10/18/2010 00:00:00,Fluor Announces That Cost Escalation on Offshore Wind Project Will Impact Third Quarter Results,
10/13/2010 00:00:00,Fluor Develops Master Plan for South Africa Solar Park,
10/13/2010 00:00:00,Fluor to Design Two New Solar Power Plants in Spain,
10/05/2010 00:00:00,Fluor Corporation Announces Third Quarter Earnings Conference Call,
09/28/2010 00:00:00,Fluor Awarded Shell’s Project Hijau Gasoil Phase-1 in Malaysia,
09/16/2010 00:00:00,Fluor to Present at D.A. Davidson 9th Annual E&C Conference,
09/02/2010 00:00:00,Luminant’s Oak Grove Plant Named POWER Magazine’s “2010 Plant of the Year”,
08/23/2010 00:00:00,Fluor Selected for Program Management of New Abu Dhabi Transportation Network,
08/19/2010 00:00:00,Fluor to Webcast Investor Presentation,
08/16/2010 00:00:00,"U.S. Department of Energy Awards Fluor-Led Team 10-Year, $2.1 Billion Contract for Portsmouth Cleanup",
08/16/2010 00:00:00,Fluor’s AMECO to Form North American Industrial Joint Venture with United Rentals,
08/12/2010 00:00:00,Fluor Team Reaches Financial Close and Receives Notice to Proceed on Denver Commuter Rail Project,
08/05/2010 00:00:00,Fluor Corporation Announces Quarterly Dividend,
07/29/2010 00:00:00,Fluor to Present at Jefferies 6th Annual Global Industrial and A&D Conference,
07/26/2010 00:00:00,"Fluor Reports Record New Awards of $9.3 Billion, Boosting Backlog to $30.2 Billion",
07/26/2010 00:00:00,Tenaska Chooses Fluor’s Econamine FG Plussm Carbon Capture Technology,
07/22/2010 00:00:00,Fluor Receives Notice to Proceed for Ivanhoe Mines Project in Mongolia,
