Date,Description,Link,EarningRelated
30/07/2008 00:00:00,"SectorWatch.Biz Issues MarketStats On Health And Fitness Companies UKMA, LULU, GAIA, NTRI, DIET, NKE",,0
10/07/2008 00:00:00,"SectorWatch.biz Issues MarketStats on Healthy Living Companies UKMA, LULU, GAIA, NTRI, and WTW",,0
03/06/2008 00:00:00,lululemon athletica inc. Provides Further Information on Fiscal 2008 EPS Guidance,,0
02/06/2008 00:00:00,lululemon athletica inc. Announces First Quarter Fiscal 2008 Results,,1
02/06/2008 00:00:00,Sheree Waterson Joins lululemon athletica as Executive Vice President of General Merchandise Management and Sourcing,,0
21/05/2008 00:00:00,lululemon athletica inc. Announces First Quarter 2008 Earnings Conference Call,,1
14/04/2008 00:00:00,lululemon athletica inc. to Webcast Analyst Meeting,,0
02/04/2008 00:00:00,"lululemon athletica Appoints Christine Day as President, Chief Operating Officer and CEO Designate",,0
02/04/2008 00:00:00,lululemon athletica inc. Continues to Gain Momentum with Strong Fourth Quarter and Fiscal Year 2007 Results,,1
20/03/2008 00:00:00,lululemon athletica inc. Announces Fourth Quarter and Full Year 2007 Earnings Conference Call,,1
19/02/2008 00:00:00,lululemon athletica Announces Resignation of Michael Tattersfield,,0
05/02/2008 00:00:00,lululemon athletica Appoints Angelia Powell as Vice President of Real Estate Operations,,0
10/01/2008 00:00:00,lululemon athletica inc. Announces Participation in the 10th Annual ICR XChange Conference,,0
04/01/2008 00:00:00,Christine Day Joins lululemon athletica as Executive Vice President of Retail Operations,,0
29/11/2007 00:00:00,lululemon athletica inc. Announces Third Quarter Fiscal 2007 Results,,1
