Date,Description,Link,EarningRelated
18/10/2013 00:00:00,Under Armour Launches First Retail Theater   Specialty Store in Shanghai's Jing An Kerry Centre,,0
03/10/2013 00:00:00,"Under Armour, Inc. To Report Third Quarter 2013 Earnings and Webcast Conference Call",,1
01/10/2013 00:00:00,NBA Standout Stephen Curry Joins Under Armour Basketball Roster,,0
04/09/2013 00:00:00,"Under Armour, Inc. To Present At Goldman Sachs Global Retailing Conference",,0
04/09/2013 00:00:00,"NFL, Under Armour and GE Seek Ideas to Accelerate Concussion Research, Prevention, Diagnosis & Treatment",,0
25/07/2013 00:00:00,Under Armour Reports Second Quarter Net Revenues Growth of 23%; Raises Full Year Outlook,,1
08/07/2013 00:00:00,Under Armour Evokes its Brand Heritage With New Grassroots Football Commercial for its I Will ™ Global Marketing Campaign,,0
03/07/2013 00:00:00,"Under Armour, Inc. To Report Second Quarter 2013 Earnings and Webcast Conference Call",,1
29/05/2013 00:00:00,Under Armour to Provide Live Webcast of Investor Day Meeting,,0
19/04/2013 00:00:00,Under Armour Reports First Quarter Net Revenues Growth Of 23%; Raises Full Year Outlook,,1
28/03/2013 00:00:00,"Under Armour, Inc. To Report First Quarter 2013 Earnings and Webcast Conference Call",,1
05/03/2013 00:00:00,"Under Armour, Inc. To Present At The Bank Of America Merrill Lynch 2013 Consumer & Retail Conference",,0
12/02/2013 00:00:00,"Under Armour Launches I WILL™, its Biggest Ever Global Marketing Campaign",,0
31/01/2013 00:00:00,Under Armour Reports Fourth Quarter Net Revenues Growth of 25% and Fourth Quarter EPS Growth of 51%,,1
11/01/2013 00:00:00,"Under Armour, Inc. To Report Fourth Quarter 2012 Earnings and Webcast Conference Call",,1
25/10/2012 00:00:00,Under Armour Reports Third Quarter Net Revenues Growth of 24%; Updates Full Year Net Revenues and Operating Income Outlook to High End Of Prior Ranges,,1
04/10/2012 00:00:00,"Under Armour, Inc. To Report Third Quarter 2012 Earnings and Webcast Conference Call",,1
01/10/2012 00:00:00,"Under Armour Names Leanne Fremar SVP, Executive Creative Director for Women's",,0
29/08/2012 00:00:00,"Under Armour, Inc. to Present at Goldman Sachs Global Retailing Conference",,0
24/07/2012 00:00:00,Under Armour Reports Second Quarter Net Revenues Growth of 27%; Raises Full Year Outlook,,1
03/07/2012 00:00:00,"Under Armour, Inc. To Report Second Quarter 2012 Earnings and Webcast Conference Call",,1
27/06/2012 00:00:00,Under Armour Appoints Two New Members to its Board of Directors,,0
11/06/2012 00:00:00,Under Armour Announces a Two-For-One Stock Split,,0
20/04/2012 00:00:00,Under Armour Reports First Quarter Net Revenues Growth of 23% and First Quarter EPS Growth of 20%; Raises Full Year Outlook,,1
03/04/2012 00:00:00,"Under Armour, Inc. To Report First Quarter 2012 Earnings and Webcast Conference Call",,1
